objectid;id_rte500;nature;toponyme;type;codeuic;region;departement;date_maj;geo_shape;geo_point_2d
244;4232;Gare de voyageurs;Loures-Barbazan;halte ferroviaire;87611178;Occitanie;65;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.6104470007246681, 43.02112626030632]}";43.0211262603,0.610447000725
248;4242;Gare de voyageurs;Gragnague;halte ferroviaire;87615377;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.567583753457248, 43.696509173496935]}";43.6965091735,1.56758375346
250;4244;Gare de voyageurs;Nîmes;gare avec accueil du public;87775007;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.365980392854718, 43.832386339966526]}";43.83238634,4.36598039285
257;4430;Gare de voyageurs;Argelès-sur-Mer;gare avec accueil du public;87784231;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.02219881763467, 42.543600391086954]}";42.5436003911,3.02219881763
259;4442;Gare de voyageurs et de fret;Aigues-Mortes;gare avec accueil du public;87775858;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.191125182505548, 43.57112255037658]}";43.5711225504,4.19112518251
260;4444;Gare de voyageurs;Labarthe-Inard;halte ferroviaire;87611129;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.8532185313175901, 43.105060363991925]}";43.105060364,0.853218531318
268;4503;Gare de voyageurs;Verzeille;halte ferroviaire;87615138;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.321106682933358, 43.130964083268296]}";43.1309640833,2.32110668293
274;4517;Gare de voyageurs;Dieupentale;halte ferroviaire;87611681;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.275865077535851, 43.86546319935326]}";43.8654631994,1.27586507754
279;4526;Gare de voyageurs;Golfech;halte ferroviaire;87618082;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.8538503344837951, 44.1161792762755]}";44.1161792763,0.853850334484
281;4539;Gare de voyageurs;Gignac-Cressensac;halte ferroviaire;87594325;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.483286691962993, 45.01467808562285]}";45.0146780856,1.48328669196
285;4709;Gare de voyageurs et de fret;Villefranche-de-Rouergue;gare avec accueil du public;87613893;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.036233558987367, 44.34728317828894]}";44.3472831783,2.03623355899
293;4782;Gare de voyageurs;Saint-Sulpice-Tarn;gare avec accueil du public;87615344;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.681038797267158, 43.77539950368044]}";43.7753995037,1.68103879727
300;4807;Gare de voyageurs;Vayrac;halte ferroviaire;87594739;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.706118921215678, 44.95013719822835]}";44.9501371982,1.70611892122
312;10000;Gare de voyageurs et de fret;Ossun;halte ferroviaire;87671313;Occitanie;65;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [-0.021347550431393, 43.18349573198975]}";43.183495732,-0.0213475504314
7;1464;Gare de voyageurs;Vauvert;gare avec accueil du public;87775817;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.270177054793375, 43.69513191871854]}";43.6951319187,4.27017705479
10;1476;Gare de voyageurs;Pomas;halte ferroviaire;87615146;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.288309658974769, 43.1121415456527]}";43.1121415457,2.28830965897
13;1584;Gare de voyageurs;Bourg-Madame;gare avec accueil du public;87784876;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.948565181458589, 42.43256868728393]}";42.4325686873,1.94856518146
15;1591;Gare de voyageurs et de fret;Narbonne;gare avec accueil du public;87781104;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.005254115162434, 43.19037323537895]}";43.1903732354,3.00525411516
30;1750;Gare de voyageurs;Laissac;halte ferroviaire;87783761;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.822384102568031, 44.374870748617894]}";44.3748707486,2.82238410257
34;1786;Gare de voyageurs;Belvezet;halte ferroviaire;87783670;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.751810279663227, 44.5618851191996]}";44.5618851192,3.75181027966
39;1913;Gare de voyageurs et de fret;Pamiers;gare avec accueil du public;87611343;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.619842318603958, 43.1158862665166]}";43.1158862665,1.6198423186
58;2107;Gare de voyageurs;Cransac;halte ferroviaire;87613232;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.272274797222604, 44.522667735479196]}";44.5226677355,2.27227479722
64;2248;Gare de voyageurs et de fret;Castelnaudary;gare avec accueil du public;87615039;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.9489072964486531, 43.31215770710435]}";43.3121577071,1.94890729645
83;2402;Gare de voyageurs;Montaudran;halte ferroviaire;87612010;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.479705695590168, 43.573899007769384]}";43.5738990078,1.47970569559
84;2403;Gare de voyageurs;Labège-Village;halte ferroviaire;87612028;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.533346481122983, 43.53009939930765]}";43.5300993993,1.53334648112
